QUAL	0	144	132879	83065	47231	0
QUAL	0	145	93943	58789	33276	0
QUAL	0	146	80411	50361	28546	0
QUAL	0	147	65898	41537	22995	0
QUAL	0	148	67319	42225	23882	0
QUAL	0	149	77261	48371	27595	0
QUAL	0	150	67357	42420	23774	0
QUAL	0	151	69467	43938	24432	0
QUAL	0	152	80735	50759	28718	0
QUAL	0	153	67601	42914	23550	0
QUAL	0	154	69904	44169	24559	0
QUAL	0	155	83124	52391	29428	0
QUAL	0	156	68823	43464	24151	0
QUAL	0	157	70092	44388	24646	0
QUAL	0	158	85116	53600	30238	0
QUAL	0	159	69758	44302	24311	0
QUAL	0	160	71035	44820	25119	0
QUAL	0	161	87393	55043	31030	0
QUAL	0	162	70066	44143	24775	0
QUAL	0	163	71002	44837	25020	0
QUAL	0	164	89804	56597	31908	0
QUAL	0	165	71736	45271	25378	0
QUAL	0	166	76419	48075	27237	0
QUAL	0	167	102405	64258	36604	0
QUAL	0	168	76045	47940	26809	0
QUAL	0	169	73271	46579	25531	0
QUAL	0	170	95173	60012	33868	0
QUAL	0	171	70861	44772	24862	0
QUAL	0	172	68425	43070	24221	0
QUAL	0	173	91259	57438	32519	0
QUAL	0	174	69143	43662	24368	0
QUAL	0	175	67465	42539	23830	0
QUAL	0	176	91737	57550	32796	0
QUAL	0	177	67642	42674	23769	0
QUAL	0	178	66250	41827	23331	0
QUAL	0	179	88546	55786	31489	0
QUAL	0	180	69334	43949	24225	0
QUAL	0	181	63561	40038	22482	0
QUAL	0	182	84464	53166	29890	0
QUAL	0	183	61477	38605	21714	0
QUAL	0	184	61088	38464	21613	0
QUAL	0	185	217307	135341	79218	0
QUAL	0	186	112481	71100	39097	0
QUAL	0	187	75497	47509	26442	0
QUAL	0	188	63799	39865	22665	0
QUAL	0	189	54229	34226	19002	0
QUAL	0	190	55395	34716	19636	0
QUAL	0	191	61202	38465	21633	0
QUAL	0	192	55219	35026	19277	0
QUAL	0	193	56762	35708	20093	0
QUAL	0	194	64675	40782	22837	0
QUAL	0	195	55520	34969	19563	0
QUAL	0	196	57176	36109	20099	0
QUAL	0	197	65473	41503	22884	0
QUAL	0	198	56402	35664	19753	0
QUAL	0	199	57080	36081	20114	0
QUAL	0	200	66538	41966	23567	0
QUAL	0	201	56910	36130	19842	0
QUAL	0	202	57815	36547	20391	0
QUAL	0	203	68378	43050	24286	0
QUAL	0	204	56551	35985	19619	0
QUAL	0	205	57165	36147	20045	0
QUAL	0	206	69957	44196	24752	0
QUAL	0	207	58090	36722	20435	0
QUAL	0	208	61265	38571	21728	0
QUAL	0	209	82469	52053	29193	0
QUAL	0	210	61168	38795	21320	0
QUAL	0	211	58612	36948	20674	0
QUAL	0	212	72480	45567	25801	0
QUAL	0	213	56324	35671	19686	0
QUAL	0	214	54879	34530	19428	0
QUAL	0	215	70451	44186	25201	0
QUAL	0	216	55197	34923	19402	0
QUAL	0	217	54595	34453	19220	0
QUAL	0	218	70273	44142	25102	0
QUAL	0	219	55009	34837	19213	0
QUAL	0	220	54222	34245	19064	0
QUAL	0	221	69350	43394	24842	0
QUAL	0	222	57188	36129	20104	0
QUAL	0	223	53267	33669	18655	0
QUAL	0	224	67309	42162	23941	0
QUAL	0	225	50841	32067	17831	0
QUAL	0	226	50181	31521	17748	0
QUAL	0	227	150742	93315	55561	0
QUAL	0	228	114126	72379	39655	0
QUAL	0	229	65354	40974	22982	0
QUAL	0	230	53510	33517	18925	0
QUAL	0	231	45467	28747	15801	0
QUAL	0	232	46384	29223	16291	0
QUAL	0	233	50043	31349	17823	0
QUAL	0	234	46661	29522	16314	0
QUAL	0	235	48684	30734	17103	0
QUAL	0	236	52457	33115	18457	0
QUAL	0	237	45867	29040	16052	0
QUAL	0	238	47461	29992	16720	0
QUAL	0	239	53269	33627	18783	0
QUAL	0	240	46482	29570	16048	0
QUAL	0	241	47237	29961	16522	0
QUAL	0	242	53595	33936	18876	0
QUAL	0	243	46433	29343	16292	0
QUAL	0	244	47392	29975	16584	0
QUAL	0	245	55105	34701	19534	0
QUAL	0	246	46530	29438	16234	0
QUAL	0	247	46908	29626	16442	0
QUAL	0	248	56217	35440	19867	0
QUAL	0	249	46601	29492	16270	0
QUAL	0	250	49821	31522	17520	0
QUAL	0	251	68139	42769	24361	0
QUAL	0	252	51221	32350	17983	0
QUAL	0	253	48141	30346	16962	0
QUAL	0	254	57077	35961	20195	0
QUAL	0	255	46617	29303	16480	0
QUAL	0	256	45910	29040	16098	0
QUAL	0	257	55613	34879	19846	0
QUAL	0	258	44374	28196	15391	0
QUAL	0	259	45208	28568	15829	0
QUAL	0	260	55477	34725	19864	0
QUAL	0	261	45655	28798	16032	0
QUAL	0	262	45170	28525	15850	0
QUAL	0	263	55103	34817	19411	0
QUAL	0	264	46272	29464	16028	0
QUAL	0	265	47725	30229	16713	0
QUAL	0	266	53116	33283	18753	0
QUAL	0	267	46190	29133	16191	0
QUAL	0	268	41368	26135	14512	0
QUAL	0	269	45857	29149	15971	0
QUAL	0	270	159571	99486	57929	0
QUAL	0	271	61378	38624	21470	0
QUAL	0	272	49118	30861	17256	0
QUAL	0	273	39921	25125	13947	0
QUAL	0	274	39589	25151	13713	0
QUAL	0	275	41716	26305	14678	0
QUAL	0	276	39138	24883	13538	0
QUAL	0	277	41109	26111	14309	0
QUAL	0	278	43922	27833	15357	0
QUAL	0	279	39499	25011	13815	0
QUAL	0	280	39977	25100	14173	0
QUAL	0	281	44021	27778	15542	0
QUAL	0	282	39606	25013	13900	0
QUAL	0	283	39795	25046	14077	0
QUAL	0	284	44481	28054	15718	0
QUAL	0	285	38906	24626	13548	0
QUAL	0	286	39864	25320	13817	0
QUAL	0	287	45947	28911	16332	0
QUAL	0	288	39301	25064	13534	0
QUAL	0	289	39738	25139	13880	0
QUAL	0	290	45178	28702	15758	0
QUAL	0	291	39118	24577	13783	0
QUAL	0	292	39773	25125	13988	0
QUAL	0	293	56272	35387	20109	0
QUAL	0	294	44872	28283	15782	0
QUAL	0	295	41151	26067	14338	0
QUAL	0	296	45628	28632	16243	0
QUAL	0	297	39111	24703	13717	0
QUAL	0	298	38174	24138	13303	0
QUAL	0	299	44613	28233	15701	0
QUAL	0	300	37692	23842	13166	0
QUAL	0	301	37501	23728	13090	0
QUAL	0	302	44740	28220	15790	0
QUAL	0	303	38923	24499	13770	0
QUAL	0	304	39402	24798	13869	0
QUAL	0	305	45325	28463	16060	0
QUAL	0	306	38738	24460	13624	0
QUAL	0	307	39910	25143	14110	0
QUAL	0	308	46997	29662	16481	0
QUAL	0	309	37494	23728	13057	0
QUAL	0	310	38950	24624	13661	0
QUAL	0	311	36418	23011	12763	0
QUAL	0	312	53987	33397	19761	0
QUAL	0	313	115512	72748	41012	0
QUAL	0	314	50238	31613	17553	0
QUAL	0	315	39672	25165	13714	0
QUAL	0	316	35492	22320	12430	0
QUAL	0	317	35931	22831	12424	0
QUAL	0	318	33697	21205	11828	0
QUAL	0	319	35516	22469	12425	0
QUAL	0	320	37397	23622	13071	0
QUAL	0	321	34188	21640	11920	0
QUAL	0	322	34674	21753	12286	0
QUAL	0	323	36797	23231	12957	0
QUAL	0	324	33765	21314	11832	0
QUAL	0	325	34256	21709	11915	0
QUAL	0	326	36817	23203	12967	0
QUAL	0	327	33731	21193	11871	0
QUAL	0	328	34026	21391	11998	0
QUAL	0	329	37501	23580	13250	0
QUAL	0	330	34504	21840	12049	0
QUAL	0	331	34168	21599	11945	0
QUAL	0	332	37939	24018	13286	0
QUAL	0	333	33432	21223	11549	0
QUAL	0	334	33647	21212	11873	0
QUAL	0	335	44801	28111	16018	0
QUAL	0	336	40762	25850	14188	0
QUAL	0	337	36582	23248	12667	0
QUAL	0	338	38863	24662	13576	0
QUAL	0	339	33533	21223	11745	0
QUAL	0	340	32927	20746	11615	0
QUAL	0	341	36974	23292	13043	0
QUAL	0	342	32190	20226	11374	0
QUAL	0	343	32384	20562	11293	0
QUAL	0	344	36679	23000	13061	0
QUAL	0	345	32300	20278	11428	0
QUAL	0	346	33415	21012	11844	0
QUAL	0	347	38710	24342	13734	0
QUAL	0	348	33067	20850	11631	0
QUAL	0	349	33505	21119	11779	0
QUAL	0	350	39111	24730	13638	0
QUAL	0	351	34825	22127	12039	0
QUAL	0	352	33130	20752	11780	0
QUAL	0	353	34241	21625	12006	0
QUAL	0	354	30748	19439	10757	0
QUAL	0	355	31564	19981	11015	0
QUAL	0	356	88721	55073	32483	0
QUAL	0	357	56850	36008	19710	0
QUAL	0	358	37734	23858	13123	0
QUAL	0	359	34909	22083	12069	0
QUAL	0	360	30300	19091	10597	0
QUAL	0	361	31547	19858	11087	0
QUAL	0	362	32577	20502	11477	0
QUAL	0	363	29880	19014	10308	0
QUAL	0	364	30241	19092	10602	0
QUAL	0	365	31698	20134	11003	0
QUAL	0	366	29469	18813	10101	0
QUAL	0	367	29493	18581	10413	0
QUAL	0	368	31640	20110	10968	0
QUAL	0	369	29457	18714	10182	0
QUAL	0	370	29672	18831	10340	0
QUAL	0	371	32118	20256	11270	0
QUAL	0	372	29716	18714	10488	0
QUAL	0	373	29641	18622	10468	0
QUAL	0	374	32373	20333	11474	0
QUAL	0	375	29325	18475	10323	0
QUAL	0	376	28991	18379	10092	0
QUAL	0	377	35379	22496	12311	0
QUAL	0	378	34945	22106	12219	0
QUAL	0	379	32703	20721	11409	0
QUAL	0	380	34112	21442	12080	0
QUAL	0	381	30228	19300	10350	0
QUAL	0	382	29576	18671	10347	0
QUAL	0	383	31280	19463	11270	0
QUAL	0	384	27833	17648	9696	0
QUAL	0	385	28236	18146	9601	0
QUAL	0	386	30978	19421	11064	0
QUAL	0	387	27959	17660	9826	0
QUAL	0	388	28627	18305	9836	0
QUAL	0	389	32048	20243	11241	0
QUAL	0	390	28915	18177	10227	0
QUAL	0	391	29063	18355	10220	0
QUAL	0	392	32946	20608	11676	0
QUAL	0	393	28970	18319	10115	0
QUAL	0	394	29943	19050	10393	0
QUAL	0	395	30497	19385	10565	0
QUAL	0	396	28938	18303	10138	0
QUAL	0	397	28994	18204	10273	0
QUAL	0	398	28946	18342	10102	0
QUAL	0	399	27084	16993	9574	0
QUAL	0	400	56945	35074	21074	0
QUAL	0	401	61254	38671	21507	0
QUAL	0	402	33316	21018	11535	0
QUAL	0	403	32027	20235	11178	0
QUAL	0	404	29980	19064	10298	0
QUAL	0	405	27020	17073	9402	0
QUAL	0	406	27037	17204	9349	0
QUAL	0	407	27520	17306	9671	0
QUAL	0	408	26054	16358	9180	0
QUAL	0	409	26410	16619	9291	0
QUAL	0	410	27862	17587	9744	0
QUAL	0	411	25889	16301	9113	0
QUAL	0	412	26353	16806	9061	0
QUAL	0	413	27923	17642	9777	0
QUAL	0	414	25990	16389	9130	0
QUAL	0	415	26334	16587	9273	0
QUAL	0	416	27877	17575	9777	0
QUAL	0	417	25987	16368	9145	0
QUAL	0	418	25399	16059	8905	0
QUAL	0	419	28716	18025	10166	0
QUAL	0	420	31058	19592	10898	0
QUAL	0	421	29283	18579	10208	0
QUAL	0	422	29522	18712	10316	0
QUAL	0	423	27099	17035	9594	0
QUAL	0	424	26487	16683	9302	0
QUAL	0	425	27824	17584	9744	0
QUAL	0	426	25467	15963	9040	0
QUAL	0	427	24746	15545	8719	0
QUAL	0	428	27059	16954	9613	0
QUAL	0	429	24633	15569	8592	0
QUAL	0	430	25356	15941	8928	0
QUAL	0	431	27268	17149	9641	0
QUAL	0	432	24918	15621	8820	0
QUAL	0	433	24711	15556	8729	0
QUAL	0	434	28032	17681	9803	0
QUAL	0	435	25580	16126	9007	0
QUAL	0	436	25914	16237	9199	0
QUAL	0	437	25915	16420	9016	0
QUAL	0	438	25322	16065	8786	0
QUAL	0	439	26419	16832	9106	0
QUAL	0	440	27305	17275	9561	0
QUAL	0	441	25144	15935	8731	0
QUAL	0	442	26508	16756	9297	0
QUAL	0	443	25292	16057	8781	0
QUAL	0	444	24423	15432	8547	0
QUAL	0	445	60964	37970	22132	0
QUAL	0	446	42707	27138	14765	0
QUAL	0	447	29022	18300	10141	0
QUAL	0	448	26690	16749	9395	0
QUAL	0	449	25813	16317	8967	0
QUAL	0	450	23998	15124	8399	0
QUAL	0	451	23922	15151	8318	0
QUAL	0	452	24163	15190	8504	0
QUAL	0	453	23281	14753	8067	0
QUAL	0	454	23106	14703	7971	0
QUAL	0	455	24291	15302	8551	0
QUAL	0	456	23181	14690	8084	0
QUAL	0	457	23471	14712	8279	0
QUAL	0	458	24365	15390	8516	0
QUAL	0	459	23154	14552	8162	0
QUAL	0	460	22988	14429	8145	0
QUAL	0	461	23387	14704	8262	0
QUAL	0	462	25808	16315	9029	0
QUAL	0	463	26404	16771	9211	0
QUAL	0	464	26407	16681	9240	0
QUAL	0	465	24611	15551	8589	0
QUAL	0	466	24060	15344	8307	0
QUAL	0	467	24313	15291	8590	0
QUAL	0	468	23753	15035	8244	0
QUAL	0	469	22858	14502	7947	0
QUAL	0	470	24185	15207	8507	0
QUAL	0	471	22708	14290	8011	0
QUAL	0	472	22616	14310	7899	0
QUAL	0	473	23797	15052	8301	0
QUAL	0	474	22035	13865	7779	0
QUAL	0	475	22303	14053	7840	0
QUAL	0	476	24226	15147	8590	0
QUAL	0	477	22005	14049	7530	0
QUAL	0	478	22426	14110	7885	0
QUAL	0	479	22606	14306	7885	0
QUAL	0	480	22619	14259	7967	0
QUAL	0	481	23357	14887	8040	0
QUAL	0	482	23291	14785	8099	0
QUAL	0	483	22882	14488	7976	0
QUAL	0	484	23899	15149	8347	0
QUAL	0	485	24399	15469	8495	0
QUAL	0	486	22291	14004	7848	0
QUAL	0	487	23744	15011	8305	0
QUAL	0	488	23300	14716	8145	0
QUAL	0	489	22922	14573	7950	0
QUAL	0	490	53287	32989	19533	0
QUAL	0	491	34045	21563	11797	0
QUAL	0	492	24633	15591	8513	0
QUAL	0	493	23535	14786	8240	0
QUAL	0	494	22594	14194	7948	0
QUAL	0	495	20964	13166	7404	0
QUAL	0	496	21157	13513	7244	0
QUAL	0	497	21549	13719	7390	0
QUAL	0	498	20667	13019	7247	0
QUAL	0	499	21133	13455	7295	0
QUAL	0	500	21763	13710	7645	0
QUAL	0	501	20846	13173	7286	0
QUAL	0	502	20667	13073	7198	0
QUAL	0	503	20785	13156	7200	0
QUAL	0	504	20424	12818	7215	0
QUAL	0	505	23036	14556	8070	0
QUAL	0	506	23760	15070	8243	0
QUAL	0	507	22115	14046	7668	0
QUAL	0	508	22501	14253	7856	0
QUAL	0	509	21756	13690	7659	0
QUAL	0	510	21422	13666	7377	0
QUAL	0	511	20810	13148	7260	0
QUAL	0	512	20864	13213	7260	0
QUAL	0	513	20364	12788	7227	0
QUAL	0	514	20248	12727	7143	0
QUAL	0	515	21724	13546	7757	0
QUAL	0	516	20188	12754	7062	0
QUAL	0	517	20255	12916	6939	0
QUAL	0	518	20231	12713	7056	0
QUAL	0	519	19555	12377	6810	0
QUAL	0	520	19998	12699	6941	0
QUAL	0	521	19465	12319	6730	0
QUAL	0	522	19720	12419	6951	0
QUAL	0	523	20027	12814	6830	0
QUAL	0	524	20351	12945	7051	0
QUAL	0	525	20354	12904	7073	0
QUAL	0	526	20859	13141	7339	0
QUAL	0	527	20860	13147	7386	0
QUAL	0	528	20209	12831	6991	0
QUAL	0	529	21304	13547	7339	0
QUAL	0	530	22349	14076	7868	0
QUAL	0	531	20854	13132	7346	0
QUAL	0	532	21407	13524	7514	0
QUAL	0	533	20527	13076	7049	0
QUAL	0	534	20151	12876	6934	0
QUAL	0	535	43999	27103	16216	0
QUAL	0	536	28767	18108	10064	0
QUAL	0	537	21857	13569	7817	0
QUAL	0	538	20714	13092	7231	0
QUAL	0	539	20110	12802	6918	0
QUAL	0	540	18982	12025	6594	0
QUAL	0	541	18856	11884	6614	0
QUAL	0	542	19094	12007	6701	0
QUAL	0	543	18976	11920	6665	0
QUAL	0	544	18728	11733	6636	0
QUAL	0	545	18874	11870	6632	0
QUAL	0	546	18396	11648	6393	0
QUAL	0	547	18568	11668	6521	0
QUAL	0	548	20915	13204	7375	0
QUAL	0	549	20084	12650	7037	0
QUAL	0	550	20542	13053	7112	0
QUAL	0	551	19398	12211	6809	0
QUAL	0	552	19704	12218	7107	0
QUAL	0	553	19233	11996	6843	0
QUAL	0	554	19215	12051	6769	0
QUAL	0	555	18910	12027	6532	0
QUAL	0	556	18481	11680	6454	0
QUAL	0	557	19568	12323	6881	0
QUAL	0	558	18915	12028	6534	0
QUAL	0	559	18414	11625	6404	0
QUAL	0	560	18610	11640	6607	0
QUAL	0	561	17869	11251	6277	0
QUAL	0	562	17707	11121	6262	0
QUAL	0	563	17697	11254	6124	0
QUAL	0	564	17566	11214	6011	0
QUAL	0	565	17838	11283	6251	0
QUAL	0	566	18146	11552	6250	0
QUAL	0	567	18055	11392	6295	0
QUAL	0	568	18369	11579	6439	0
QUAL	0	569	18269	11521	6406	0
QUAL	0	570	18635	11691	6600	0
QUAL	0	571	18469	11595	6532	0
QUAL	0	572	18867	11917	6615	0
QUAL	0	573	19105	12120	6636	0
QUAL	0	574	19347	12195	6736	0
QUAL	0	575	19658	12468	6824	0
QUAL	0	576	18527	11700	6475	0
QUAL	0	577	18950	11949	6678	0
QUAL	0	578	18284	11434	6517	0
QUAL	0	579	18035	11383	6308	0
QUAL	0	580	37049	22977	13549	0
QUAL	0	581	24105	15327	8309	0
QUAL	0	582	19087	12065	6628	0
QUAL	0	583	18307	11406	6502	0
QUAL	0	584	17979	11270	6308	0
QUAL	0	585	17336	10953	6016	0
QUAL	0	586	16967	10644	5945	0
QUAL	0	587	16994	10625	6039	0
QUAL	0	588	17065	10792	5944	0
QUAL	0	589	16629	10580	5703	0
QUAL	0	590	16620	10579	5706	0
QUAL	0	591	17892	11259	6290	0
QUAL	0	592	18444	11691	6407	0
QUAL	0	593	18508	11588	6548	0
QUAL	0	594	17777	11086	6321	0
QUAL	0	595	17859	11340	6177	0
QUAL	0	596	17103	10766	5995	0
QUAL	0	597	17717	11058	6319	0
QUAL	0	598	17182	10840	6052	0
QUAL	0	599	17591	10926	6321	0
QUAL	0	600	17445	10900	6211	0
QUAL	0	601	16794	10588	5906	0
QUAL	0	602	16638	10458	5833	0
QUAL	0	603	16661	10584	5731	0
QUAL	0	604	16295	10324	5677	0
QUAL	0	605	16497	10498	5689	0
QUAL	0	606	16324	10344	5645	0
QUAL	0	607	16151	10217	5618	0
QUAL	0	608	15887	9996	5583	0
QUAL	0	609	16073	10155	5586	0
QUAL	0	610	16269	10417	5546	0
QUAL	0	611	16190	10351	5499	0
QUAL	0	612	15913	10193	5421	0
QUAL	0	613	16137	10169	5674	0
QUAL	0	614	16446	10363	5741	0
QUAL	0	615	17081	10806	5944	0
QUAL	0	616	17581	11021	6199	0
QUAL	0	617	17279	10879	6040	0
QUAL	0	618	16996	10899	5772	0
QUAL	0	619	17265	10854	6100	0
QUAL	0	620	17612	11183	6088	0
QUAL	0	621	16454	10355	5769	0
QUAL	0	622	16688	10439	5923	0
QUAL	0	623	16008	10074	5617	0
QUAL	0	624	16063	10088	5672	0
QUAL	0	625	31310	19389	11454	0
QUAL	0	626	20557	12820	7348	0
QUAL	0	627	17205	10788	6039	0
QUAL	0	628	16436	10397	5702	0
QUAL	0	629	15999	10071	5590	0
QUAL	0	630	15770	9996	5433	0
QUAL	0	631	15537	9709	5513	0
QUAL	0	632	15272	9630	5294	0
QUAL	0	633	15444	9797	5338	0
QUAL	0	634	15318	9657	5342	0
QUAL	0	635	16806	10460	6038	0
QUAL	0	636	16286	10418	5556	0
QUAL	0	637	16607	10463	5819	0
QUAL	0	638	16094	10146	5603	0
QUAL	0	639	16415	10324	5763	0
QUAL	0	640	15973	10076	5553	0
QUAL	0	641	15788	9952	5526	0
QUAL	0	642	16201	10184	5705	0
QUAL	0	643	15779	9962	5476	0
QUAL	0	644	16009	10043	5618	0
QUAL	0	645	15712	9828	5621	0
QUAL	0	646	15103	9525	5262	0
QUAL	0	647	14747	9353	5098	0
QUAL	0	648	15162	9539	5315	0
QUAL	0	649	14897	9373	5225	0
QUAL	0	650	14981	9499	5205	0
QUAL	0	651	14714	9309	5086	0
QUAL	0	652	14708	9307	5111	0
QUAL	0	653	14537	9098	5163	0
QUAL	0	654	14698	9261	5140	0
QUAL	0	655	14630	9151	5182	0
QUAL	0	656	14516	9005	5209	0
QUAL	0	657	14754	9238	5204	0
QUAL	0	658	15060	9428	5324	0
QUAL	0	659	15438	9684	5431	0
QUAL	0	660	15590	9829	5489	0
QUAL	0	661	15489	9704	5456	0
QUAL	0	662	15443	9706	5451	0
QUAL	0	663	15364	9712	5369	0
QUAL	0	664	15403	9702	5411	0
QUAL	0	665	15495	9708	5461	0
QUAL	0	666	14986	9454	5234	0
QUAL	0	667	14999	9539	5169	0
QUAL	0	668	14316	9053	4988	0
QUAL	0	669	14731	9259	5175	0
QUAL	0	670	25955	16131	9394	0
QUAL	0	671	17673	11124	6180	0
QUAL	0	672	15557	9738	5501	0
QUAL	0	673	14741	9186	5245	0
QUAL	0	674	14366	9019	5032	0
QUAL	0	675	14123	8951	4872	0
QUAL	0	676	13646	8611	4779	0
QUAL	0	677	14029	8930	4832	0
QUAL	0	678	13955	8701	4955	0
QUAL	0	679	14753	9279	5196	0
QUAL	0	680	15636	9861	5488	0
QUAL	0	681	14629	9236	5092	0
QUAL	0	682	15016	9450	5243	0
QUAL	0	683	14477	9217	5004	0
QUAL	0	684	14855	9368	5207	0
QUAL	0	685	14477	9127	5074	0
QUAL	0	686	14458	9100	5050	0
QUAL	0	687	14776	9248	5230	0
QUAL	0	688	13836	8795	4784	0
QUAL	0	689	13715	8634	4792	0
QUAL	0	690	14177	8914	4992	0
QUAL	0	691	13647	8570	4796	0
QUAL	0	692	13223	8283	4670	0
QUAL	0	693	13612	8551	4768	0
QUAL	0	694	13610	8578	4759	0
QUAL	0	695	13505	8500	4713	0
QUAL	0	696	13264	8343	4629	0
QUAL	0	697	13119	8318	4549	0
QUAL	0	698	13199	8345	4581	0
QUAL	0	699	13234	8376	4593	0
QUAL	0	700	13427	8355	4788	0
QUAL	0	701	13836	8780	4799	0
QUAL	0	702	13766	8675	4809	0
QUAL	0	703	13709	8701	4740	0
QUAL	0	704	13639	8673	4720	0
QUAL	0	705	13941	8801	4861	0
QUAL	0	706	13941	8821	4811	0
QUAL	0	707	13890	8677	4929	0
QUAL	0	708	13566	8524	4801	0
QUAL	0	709	13791	8736	4750	0
QUAL	0	710	13970	8797	4927	0
QUAL	0	711	13370	8442	4655	0
QUAL	0	712	13675	8528	4863	0
QUAL	0	713	13147	8327	4558	0
QUAL	0	714	13513	8556	4680	0
QUAL	0	715	21513	13228	7942	0
QUAL	0	716	15314	9583	5392	0
QUAL	0	717	13715	8621	4803	0
QUAL	0	718	13269	8413	4583	0
QUAL	0	719	12931	8090	4555	0
QUAL	0	720	12833	8124	4445	0
QUAL	0	721	12504	7854	4393	0
QUAL	0	722	12951	8182	4525	0
QUAL	0	723	13183	8270	4668	0
QUAL	0	724	13655	8645	4732	0
QUAL	0	725	14184	8898	5017	0
QUAL	0	726	13299	8418	4600	0
QUAL	0	727	13584	8560	4762	0
QUAL	0	728	13210	8279	4664	0
QUAL	0	729	13542	8402	4862	0
